root_category_id,ACOS,VTS ORG,VTS ADS,CPC,visits_ads,visits,share ads,TICKET,TACOS,Cantidad
"Souvenirs, Cotillón y Fiestas",0.14216483251408144,72.30568948891032,21.04174228675136,8.370293256856822,23188,299924,0.2656702025072324,1113.434693140602,0.04202429812301831,2196
Salud y Equipamiento Médico,0.07863065088155327,34.316689996128304,10.866466240761618,23.07655563412311,86747,2304503,0.11887601632069572,2042.8984178123358,0.014591730276010389,13420
Ropa y Accesorios,0.09081758594873149,141.30537123864917,30.402446991744373,10.06555731611975,511886,11904271,0.199857558312066,3389.4394345065425,0.018044259551268187,14518
Otras categorías,0.10255770872393292,58.45106382978724,28.78021978021978,7.314860626604264,2619,109888,0.04840425531914894,1618.070356117411,0.006297762860350084,6832
"Libros, Revistas y Comics",0.05435469794950838,43.27849730292161,14.060650081714181,7.536850630239381,309728,4741722,0.20105327528453948,1882.9444874507867,0.011315374823942619,732
Juegos y Juguetes,0.10534701997923251,118.52220325216729,36.309992006394886,9.045422093798733,227119,7150326,0.10368147988529564,3172.781090267385,0.010732874959216064,22448
Joyas y Relojes,0.15121908034545944,70.80200973465222,12.867172675521822,15.75793246144956,33905,901876,0.20686135971110065,1902.2538957588338,0.022049221319688887,2684
Instrumentos Musicales,0.11276272160825401,169.6310391363023,45.336384439359264,28.233107213747164,19812,628483,0.11794871794871795,10328.035663706667,0.014617767681952566,7808
Industrias y Oficinas,0.09100165962128996,56.52012028430836,22.56740914419695,24.55781611797896,38500,1033753,0.0932750136686714,3141.2518983126597,0.0164563684769181,13420
"Hogar, Muebles y Jardín",0.10600154376494388,45.32807355367012,12.048468778667203,15.972384841201137,958781,13794330,0.26148947496401836,1821.7916824456881,0.02762212716670121,64294
Herramientas,0.07314513770857659,62.44527455046445,20.81737884936739,9.833021177300216,87204,2198261,0.11899554015282789,2953.6181158455847,0.008246874053036113,26474
"Electrónica, Audio y Video",0.08792840656733433,44.572222858603034,15.358806404657933,9.489808225086943,232133,5058457,0.13317590251037545,2478.4942367930917,0.007831638586856182,14274
Electrodomésticos y Aires Ac.,0.09272578061150395,49.72434203572561,16.310884639630174,15.155687073091602,155247,2352210,0.20120494662297855,4023.3043533825166,0.012362574228182726,15860
Deportes y Fitness,0.09573009830553447,74.61069817753965,15.538296899675837,11.725403125748135,747765,11794683,0.3044223604056097,2388.8256637801906,0.023217918977840372,41358
Cámaras y Accesorios,0.14805289398601548,49.86011049723757,24.688860435339308,7.205076249768134,19282,451234,0.08629834254143647,2539.4420141702726,0.006045104043316114,5002
Construcción,0.08341347860590857,29.69867918990314,8.009019320575039,12.045712132739045,174933,2529585,0.2564367478720282,1240.0277384943804,0.019950816858958716,18788
Consolas y Videojuegos,0.09145701294624729,63.8330879400348,24.659043659043657,9.55242645108284,11861,476897,0.06438227814214964,2729.467663842182,0.005556205735686497,6954
Computación,0.11217917596319538,45.32466327692904,18.822538860103627,15.086871513083713,72655,3859803,0.04532697659671908,2958.7180199600093,0.004350413811624702,19398
Celulares y Teléfonos,0.06390346869252954,65.13563314995925,18.4717070851165,16.16053121204517,77692,5114971,0.05356051344743276,10172.740438955483,0.0015716992056323746,7930
Belleza y Cuidado Personal,0.10669276447231424,61.979559748427675,17.862427609029666,15.794217513892278,151134,4651442,0.11274117897878691,2141.428462480942,0.01485311685450564,22570
Bebés,0.10608656099397813,66.89961924541363,23.263387978142077,9.044225326153883,42572,773092,0.15835929387331257,2278.733255902637,0.01462158332560376,11712
"Arte, Librería y Mercería",0.06943589725520584,43.29477496366539,6.907926916990361,7.576868410995286,48017,1817125,0.165614352767387,890.1326795597407,0.009738245192443373,11956
Antigüedades y Colecciones,0.40566630452502234,110.72459349593495,158.5142857142857,4.647979448403405,5548,108953,0.03556910569105691,1079.4698377159552,0.02427700127802455,2196
Animales y Mascotas,0.10998756145164525,53.34785177975528,15.027638694171841,12.861536796200575,150066,3069422,0.17356090100111235,1761.7126212763176,0.01904146854774867,13664
Alimentos y Bebidas,0.11535413924275223,46.45658556290531,10.966851744426949,14.569474073452861,132337,6440230,0.08704527912630114,1658.9133075619754,0.008383924886419291,13420
Accesorios para Vehículos,0.08852102515816263,132.26739218057236,34.13157894736842,14.200925809340951,221787,4922331,0.17460701330108827,6981.587838068589,0.012122174048333094,72102